Activity Period,Passenger Count,GEO Region
201807,2097945,US
201808,220091,Europe
201810,170082,Europe
201802,53605,Canada
201806,24331,Middle East
201802,93634,Europe
201810,74487,Canada
201808,108292,Canada
201806,64355,Mexico
201809,198707,Asia
201804,142828,Europe
201811,53718,Canada
201804,61819,Canada
201811,134171,Europe
201809,13453,Central America
201803,29228,Australia / Oceania
201805,19166,Middle East
201805,53609,Mexico
201808,25865,Australia / Oceania
201810,30649,Australia / Oceania
201801,208731,Asia
201802,31128,Australia / Oceania
201803,60917,Canada
201804,21594,Australia / Oceania
201811,37729,Australia / Oceania
201801,14544,Central America
201803,132236,Europe
201812,1726226,US
201801,54420,Mexico
201801,17969,Middle East
201808,2065900,US
201810,1831214,US
201807,202701,Europe
201805,240808,Asia
201802,1478679,US
201807,103060,Canada
201804,1804175,US
201811,1699995,US
201805,15640,Central America
201812,41775,Australia / Oceania
201807,28284,Australia / Oceania
201809,18062,Middle East
201806,261032,Asia
201809,33244,Mexico
201812,58219,Canada
201806,18073,Central America
201812,137414,Europe
201803,1804536,US
201803,18629,Middle East
201803,61573,Mexico
201807,18522,Central America
201809,1720818,US
201805,186444,Europe
201807,249823,Asia
201805,80881,Canada
201806,26206,Australia / Oceania
201804,55231,Mexico
201804,16022,Middle East
201812,260853,Asia
201811,57449,Mexico
201811,18076,Middle East
201808,23091,Middle East
201810,22181,Middle East
201805,23645,Australia / Oceania
201812,18496,Central America
201806,103833,Canada
201808,48751,Mexico
201810,45478,Mexico
201801,1527281,US
201802,17578,Middle East
201806,219721,Europe
201802,49939,Mexico
201802,12343,Central America
201811,228480,Asia
201812,72344,Mexico
201808,15690,Central America
201810,14398,Central America
201812,20766,Middle East
201804,202711,Asia
201805,1892932,US
201801,38093,Australia / Oceania
201809,203939,Europe
201802,200083,Asia
201811,16295,Central America
201804,14300,Central America
201809,86585,Canada
201808,232677,Asia
201810,241587,Asia
201803,228501,Asia
201803,16590,Central America
201801,105892,Europe
201809,28111,Australia / Oceania
201807,14733,Middle East
201807,64439,Mexico
201801,49707,Canada
201806,2046234,US
